Restaurant,address,opens_at,closes_at
humus_hakerem,Shoken 30,08:00:00 AM,07:00:00 PM
al_harampa,Ha'amal 21,11:00:00 AM,03:00:00 AM
twenty_four_rupee,Shoken 16,10:00:00 AM,12:00:00 PM
pizza_much,Shoken 24,11:00:00 AM,
falafel_gina,Shoken 22,09:00:00 AM,09:00:00 PM
aroma,everywhere,08:00:00 AM,10:00:00 PM
cofix,everywhere,08:00:00 AM,10:00:00 PM
vitosha,yehuda hayamit 3,10:00:00 AM,10:30:00 PM
bugsy,shalma road 44,,02:00:00 AM
vicky_christina,mitham_hatachana,,02:00:00 AM
shtern1,avraham shtern 1,,
